x,y,z
3.244232654571533,2.881364107131958,3.82501220703125
3.2448291778564453,2.8833813667297363,3.8235421180725098
3.2470510005950928,2.887812376022339,3.8217320442199707
3.2470510005950928,2.887812376022339,3.8217320442199707
3.248227834701538,2.8889505863189697,3.8217453956604004
3.2489664554595947,2.8899142742156982,3.821241617202759
3.2479500770568848,2.8895773887634277,3.820305109024048
3.245497226715088,2.8880226612091064,3.818394660949707
3.245497226715088,2.8880226612091064,3.818394660949707
3.2425506114959717,2.8859634399414062,3.817190408706665
3.2415995597839355,2.8863956928253174,3.81662654876709
3.240018367767334,2.8853986263275146,3.8160006999969482
3.239414691925049,2.885016679763794,3.8153188228607178
3.239414691925049,2.885016679763794,3.8153188228607178
3.23954176902771,2.8846144676208496,3.816312074661255
3.240384340286255,2.885862350463867,3.8162262439727783
3.2410728931427,2.888012409210205,3.815176010131836
3.242231607437134,2.8899834156036377,3.8161697387695312
3.242231607437134,2.8899834156036377,3.8161697387695312
3.2414870262145996,2.889857769012451,3.8161840438842773
3.2395386695861816,2.887629270553589,3.81687593460083
3.2385001182556152,2.886458158493042,3.8174402713775635
3.2373387813568115,2.885571241378784,3.8172926902770996
3.2373387813568115,2.885571241378784,3.8172926902770996
3.2369539737701416,2.884822130203247,3.8181374073028564
3.2372844219207764,2.8849668502807617,3.818833589553833
3.236112356185913,2.8834447860717773,3.8189194202423096
3.23604416847229,2.8830583095550537,3.8191769123077393
3.23604416847229,2.8830583095550537,3.8191769123077393
3.2351372241973877,2.8826141357421875,3.8186728954315186
3.234694480895996,2.881746530532837,3.8191049098968506
3.2346770763397217,2.8816635608673096,3.8199586868286133
3.2346932888031006,2.8815414905548096,3.8203718662261963
3.2346932888031006,2.8815414905548096,3.8203718662261963
3.2346551418304443,2.881190776824951,3.820554733276367
3.2353577613830566,2.881052017211914,3.821636438369751
3.2359619140625,2.8801116943359375,3.8229358196258545
3.235887289047241,2.879596710205078,3.8231325149536133
3.235887289047241,2.879596710205078,3.8231325149536133
3.2364554405212402,2.879905939102173,3.8235034942626953
3.23659086227417,2.8795182704925537,3.824352979660034
3.236630439758301,2.878854513168335,3.8255462646484375
3.2372610569000244,2.877840042114258,3.8269519805908203
3.2372610569000244,2.877840042114258,3.8269519805908203
3.238055944442749,2.8783695697784424,3.8269731998443604
3.2392990589141846,2.879518747329712,3.8278212547302246
3.2397592067718506,2.879796266555786,3.828671455383301
3.2397592067718506,2.879796266555786,3.828671455383301
3.239795207977295,2.878525972366333,3.8297643661499023
3.241340160369873,2.8778645992279053,3.8320038318634033
3.244638204574585,2.8795087337493896,3.8337504863739014
3.2465763092041016,2.8803672790527344,3.8343234062194824
3.2486624717712402,2.881304979324341,3.834733486175537
3.2486624717712402,2.881304979324341,3.834733486175537
3.2503621578216553,2.8814339637756348,3.8356144428253174
3.250748634338379,2.880974769592285,3.8359718322753906
3.250188112258911,2.8805458545684814,3.835766553878784
3.250188112258911,2.8805458545684814,3.835766553878784
3.2503113746643066,2.8805553913116455,3.8367977142333984
3.249467134475708,2.8798985481262207,3.836853504180908
3.2483880519866943,2.878979206085205,3.8372833728790283
