x,y,z
3.112581253051758,3.64523983001709,3.8396830558776855
3.1104369163513184,3.635467767715454,3.8448550701141357
3.1104369163513184,3.635467767715454,3.8448550701141357
3.1123080253601074,3.6248350143432617,3.846269130706787
3.1112546920776367,3.626234769821167,3.845930337905884
3.1112546920776367,3.626234769821167,3.845930337905884
3.111093044281006,3.6279430389404297,3.845005512237549
3.111457109451294,3.634495973587036,3.8420910835266113
3.111457109451294,3.634495973587036,3.8420910835266113
3.111093759536743,3.635504722595215,3.840226411819458
3.1107733249664307,3.634911060333252,3.838115930557251
3.1107733249664307,3.634911060333252,3.838115930557251
3.111225128173828,3.6337881088256836,3.837177276611328
3.111198902130127,3.634629011154175,3.8364462852478027
3.111198902130127,3.634629011154175,3.8364462852478027
3.110288381576538,3.636701822280884,3.8362433910369873
3.1110177040100098,3.6374902725219727,3.8358731269836426
3.111743211746216,3.6387290954589844,3.8353779315948486
3.111445426940918,3.637346029281616,3.835740327835083
3.1117911338806152,3.6347270011901855,3.8364880084991455
3.1132116317749023,3.631603956222534,3.8372063636779785
3.113825559616089,3.630260705947876,3.837507963180542
3.1141388416290283,3.6283605098724365,3.83798885345459
3.1141388416290283,3.6283605098724365,3.83798885345459
3.1144070625305176,3.627310276031494,3.837536334991455
3.1143720149993896,3.6262762546539307,3.836463212966919
3.115175724029541,3.627568483352661,3.8334951400756836
3.1141254901885986,3.63350248336792,3.83117413520813
3.114588737487793,3.64028263092041,3.829270839691162
3.114818572998047,3.6443891525268555,3.828059673309326
3.1159403324127197,3.6454215049743652,3.8273212909698486
3.1159403324127197,3.6454215049743652,3.8273212909698486
3.11719012260437,3.6445729732513428,3.8269433975219727
3.1176013946533203,3.643540859222412,3.8257253170013428
3.118300199508667,3.6426079273223877,3.825148582458496
3.1193764209747314,3.6422524452209473,3.8242547512054443
3.122103691101074,3.6420300006866455,3.8238353729248047
3.124648094177246,3.641798973083496,3.8227694034576416
3.1257684230804443,3.6420891284942627,3.822740316390991
3.1257684230804443,3.6420891284942627,3.822740316390991
3.1256155967712402,3.6401662826538086,3.8225765228271484
3.1255877017974854,3.6384832859039307,3.8221347332000732
3.1266326904296875,3.637221574783325,3.8206558227539062
3.127685546875,3.6357839107513428,3.8197078704833984
3.129070281982422,3.6352713108062744,3.819317102432251
3.1308555603027344,3.637955665588379,3.8179380893707275
3.1308555603027344,3.637955665588379,3.8179380893707275
3.1332874298095703,3.638836622238159,3.8170933723449707
3.135204315185547,3.6407663822174072,3.8168463706970215
3.1376373767852783,3.641953468322754,3.8169097900390625
3.1411657333374023,3.640618324279785,3.8173606395721436
3.142835855484009,3.6396758556365967,3.8179690837860107
3.145008087158203,3.6378393173217773,3.8185770511627197
3.145872116088867,3.636305570602417,3.8190762996673584
3.147617816925049,3.6364097595214844,3.818678855895996
3.147617816925049,3.6364097595214844,3.818678855895996
3.148752212524414,3.637913703918457,3.8173253536224365
3.1482768058776855,3.639838695526123,3.816614866256714
3.1493115425109863,3.6410634517669678,3.8156981468200684
3.1525721549987793,3.6432862281799316,3.8141438961029053
3.154435396194458,3.6436777114868164,3.8133184909820557
3.157010793685913,3.642509698867798,3.813023805618286
3.1598169803619385,3.640162467956543,3.812992811203003
3.1598169803619385,3.640162467956543,3.812992811203003
3.162411689758301,3.6413002014160156,3.812290906906128
3.1642446517944336,3.642162799835205,3.812255382537842
3.1667957305908203,3.6428258419036865,3.811818838119507
3.1676015853881836,3.6436526775360107,3.8116729259490967
3.1682517528533936,3.642934799194336,3.8119564056396484
3.1685361862182617,3.6423628330230713,3.8123855590820312
